item_id,product_name,category,brand,price,rating,stock,description,image_url
1,Essence Mascara Lash Princess,beauty,Essence,9.99,2.56,99,The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.,/products/1.webp
2,Eyeshadow Palette with Mirror,beauty,Glamour Beauty,19.99,2.86,34,"The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application.",/products/2.webp
3,Powder Canister,beauty,Velvet Touch,14.99,4.64,89,"The Powder Canister is a finely milled setting powder designed to set makeup and control shine. With a lightweight and translucent formula, it provides a smooth and matte finish.",/products/3.webp
4,Red Lipstick,beauty,Chic Cosmetics,12.99,4.36,91,"The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish.",/products/4.webp
5,Red Nail Polish,beauty,Nail Couture,8.99,4.32,79,"The Red Nail Polish offers a rich and glossy red hue for vibrant and polished nails. With a quick-drying formula, it provides a salon-quality finish at home.",/products/5.webp
6,Calvin Klein CK One,fragrances,Calvin Klein,49.99,4.37,29,"CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear.",/products/6.webp
7,Chanel Coco Noir Eau De,fragrances,Chanel,129.99,4.26,58,"Coco Noir by Chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. Perfect for evening occasions.",/products/7.webp
8,Dior J'adore,fragrances,Dior,89.99,3.80,98,"J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication.",/products/8.webp
9,Dolce Shine Eau de,fragrances,Dolce & Gabbana,69.99,3.96,4,"Dolce Shine by Dolce & Gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. It's a joyful and youthful scent.",/products/9.webp
10,Gucci Bloom Eau de,fragrances,Gucci,79.99,2.74,91,"Gucci Bloom by Gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and Rangoon creeper. It's a modern and romantic scent.",/products/10.webp
11,Annibale Colombo Bed,furniture,Annibale Colombo,1899.99,4.77,88,"The Annibale Colombo Bed is a luxurious and elegant bed frame, crafted with high-quality materials for a comfortable and stylish bedroom.",/products/11.webp
12,Annibale Colombo Sofa,furniture,Annibale Colombo,2499.99,3.92,60,"The Annibale Colombo Sofa is a sophisticated and comfortable seating option, featuring exquisite design and premium upholstery for your living room.",/products/12.webp
13,Bedside Table African Cherry,furniture,Furniture Co.,299.99,2.87,64,"The Bedside Table in African Cherry is a stylish and functional addition to your bedroom, providing convenient storage space and a touch of elegance.",/products/13.webp
14,Knoll Saarinen Executive Conference Chair,furniture,Knoll,499.99,4.88,26,"The Knoll Saarinen Executive Conference Chair is a modern and ergonomic chair, perfect for your office or conference room with its timeless design.",/products/14.webp
15,Wooden Bathroom Sink With Mirror,furniture,Bath Trends,799.99,3.59,7,"The Wooden Bathroom Sink with Mirror is a unique and stylish addition to your bathroom, featuring a wooden sink countertop and a matching mirror.",/products/15.webp
16,Apple,groceries,,1.99,4.19,8,"Fresh and crisp apples, perfect for snacking or incorporating into various recipes.",/products/16.webp
17,Beef Steak,groceries,,12.99,4.47,86,"High-quality beef steak, great for grilling or cooking to your preferred level of doneness.",/products/17.webp
18,Cat Food,groceries,,8.99,3.13,46,Nutritious cat food formulated to meet the dietary needs of your feline friend.,/products/18.webp
19,Chicken Meat,groceries,,9.99,3.19,97,"Fresh and tender chicken meat, suitable for various culinary preparations.",/products/19.webp
20,Cooking Oil,groceries,,4.99,4.80,10,"Versatile cooking oil suitable for frying, sautéing, and various culinary applications.",/products/20.webp
21,Cucumber,groceries,,1.49,4.07,84,"Crisp and hydrating cucumbers, ideal for salads, snacks, or as a refreshing side.",/products/21.webp
22,Dog Food,groceries,,10.99,4.55,71,Specially formulated dog food designed to provide essential nutrients for your canine companion.,/products/22.webp
